83,1,1,2008/2009,18,1/17/2009 0:00,492772,9994,10000
84,1,1,2008/2009,18,1/16/2009 0:00,492775,8635,9984
85,1,1,2008/2009,18,1/17/2009 0:00,492779,9998,9991
86,1,1,2008/2009,18,1/17/2009 0:00,492781,9985,7947
87,1,1,2008/2009,18,1/17/2009 0:00,492782,8342,8203
88,1,1,2008/2009,18,1/17/2009 0:00,492785,8571,9999
89,1,1,2008/2009,18,1/17/2009 0:00,492789,9996,4049
90,1,1,2008/2009,18,1/18/2009 0:00,492792,9986,10001
91,1,1,2008/2009,19,1/25/2009 0:00,492798,10000,8342
92,1,1,2008/2009,19,2/18/2009 0:00,492801,9991,8635
93,1,1,2008/2009,19,1/25/2009 0:00,492804,10001,9985
94,1,1,2008/2009,19,1/24/2009 0:00,492805,9987,9998
95,1,1,2008/2009,19,1/24/2009 0:00,492807,9999,9986
96,1,1,2008/2009,19,1/24/2009 0:00,492810,4049,9994
97,1,1,2008/2009,19,1/24/2009 0:00,492814,8203,9996
98,1,1,2008/2009,19,1/24/2009 0:00,492817,9984,8571
99,1,1,2008/2009,19,1/24/2009 0:00,492819,7947,9993
100,1,1,2008/2009,2,10/29/2008 0:00,492482,8342,10000
101,1,1,2008/2009,2,8/23/2008 0:00,492483,8635,9991
102,1,1,2008/2009,2,8/23/2008 0:00,492484,9985,10001
103,1,1,2008/2009,2,8/24/2008 0:00,492485,9998,9987
104,1,1,2008/2009,2,8/23/2008 0:00,492486,9986,9999
105,1,1,2008/2009,2,8/23/2008 0:00,492487,9994,4049
106,1,1,2008/2009,2,8/23/2008 0:00,492488,9996,8203
107,1,1,2008/2009,2,8/23/2008 0:00,492489,8571,9984
108,1,1,2008/2009,2,8/23/2008 0:00,492490,9993,7947
109,1,1,2008/2009,20,1/31/2009 0:00,492822,8571,8635
110,1,1,2008/2009,20,2/1/2009 0:00,492844,9994,9987
111,1,1,2008/2009,20,1/31/2009 0:00,492845,9998,9984
112,1,1,2008/2009,20,2/1/2009 0:00,492847,9986,9991
113,1,1,2008/2009,20,1/31/2009 0:00,492849,9996,7947
114,1,1,2008/2009,20,1/31/2009 0:00,492851,10000,8203
115,1,1,2008/2009,20,1/31/2009 0:00,492853,9985,9999
116,1,1,2008/2009,20,1/31/2009 0:00,492856,8342,4049
117,1,1,2008/2009,20,1/31/2009 0:00,492858,9993,10001
118,1,1,2008/2009,21,2/7/2009 0:00,492989,7947,8342
119,1,1,2008/2009,21,2/6/2009 0:00,492990,8571,9985
120,1,1,2008/2009,21,2/7/2009 0:00,492991,8635,9998
121,1,1,2008/2009,21,2/7/2009 0:00,492992,9987,10000
122,1,1,2008/2009,21,2/8/2009 0:00,492993,9984,9986
123,1,1,2008/2009,21,2/8/2009 0:00,492994,10001,9994
124,1,1,2008/2009,21,2/7/2009 0:00,492995,4049,8203
125,1,1,2008/2009,21,2/7/2009 0:00,492996,9991,9996
126,1,1,2008/2009,21,2/7/2009 0:00,492997,9999,9993
127,1,1,2008/2009,22,2/15/2009 0:00,492998,9986,8635
